Net_Metrekare,Brüt_Metrekare,Oda_Sayısı,Bulunduğu_Kat,Eşya_Durumu,Binanın_Yaşı,Isıtma_Tipi,Fiyat,Şehir,Binanın_Kat_Sayısı,Kullanım_Durumu,Yatırıma_Uygunluk,Takas,Banyo_Sayısı
160.0,200.0,4.0,7.Kat,0,3.0,Kombi Doğalgaz,14.64406281221155,adana,11.0,Boş,0,0,1.0
95.0,115.0,3.0,2.Kat,0,2.0,Kombi Doğalgaz,14.53335083891935,adana,2.0,Mülk Sahibi Oturuyor,1,0,2.0
230.0,300.0,5.0,4.Kat,0,2.0,Kombi Doğalgaz,15.72505321099685,adana,3.0,Boş,1,0,2.0
108.0,180.0,3.0,8.Kat,0,3.0,Diğer,14.897316067298997,adana,3.0,Mülk Sahibi Oturuyor,1,0,2.0
140.0,159.99999999999997,4.0,3.Kat,0,2.0,Klimalı,14.74373025596054,adana,5.0,Boş,1,0,1.0
100.0,125.00000000000004,3.0,3.Kat,0,2.0,Klimalı,14.488455541410652,adana,7.0,Boş,1,0,1.0
105.0,135.0,4.0,1.Kat,0,2.0,Klimalı,14.316286451937186,adana,4.0,Boş,0,0,2.0
130.0,145.0,4.0,2.Kat,0,2.0,Klimalı,14.626441218624947,adana,7.0,Boş,0,0,1.0
132.0,185.0,4.0,2.Kat,0,4.0,Kombi Doğalgaz,14.914123179965662,adana,10.0,Boş,1,0,1.0
127.0,128.0,3.0,5.Kat,0,5.0,Sobalı,15.18922639004183,adana,2.0,Kiracı Oturuyor,0,0,1.0
120.0,140.0,4.0,12.Kat,0,0.0,Kombi Doğalgaz,14.897316067298997,adana,13.0,Boş,1,1,2.0
140.0,165.0,4.0,9.Kat,0,4.0,Klimalı,14.328334783195157,adana,10.0,Boş,1,0,1.0
135.0,150.0,4.0,1.Kat,0,4.0,Kombi Doğalgaz,14.637491049927531,adana,7.0,Boş,0,1,2.0
80.0,100.0,3.0,4.Kat,0,0.0,Klimalı,14.207553321415745,adana,4.0,Boş,0,0,2.0
100.0,130.0,4.0,3.Kat,0,1.0,Kombi Doğalgaz,14.580978865220017,adana,7.0,Boş,0,1,2.0
155.0,180.0,4.0,4.Kat,0,0.0,Kombi Doğalgaz,15.024471202308668,adana,12.0,Boş,1,1,2.0
175.0,200.0,4.0,7.Kat,0,4.0,Kombi Doğalgaz,15.006398426692874,adana,9.0,Boş,1,0,2.0
